bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2020-9-18 00:40:00,2020-9-19 09:18:00,3,26,49,25,7:45:00,38,3651,36.51
2020-9-19 00:43:00,2020-9-20 11:33:00,2,30,41,29,10:35:00,25,4069,40.69
2020-9-20 01:16:00,2020-9-21 11:41:00,5,16,61,23,8:55:00,63,2149,21.49
2020-9-21 01:10:00,2020-9-22 09:30:00,4,15,48,37,7:50:00,50,3028,30.28
2020-9-22 00:39:00,2020-9-23 08:06:00,4,21,57,22,7:15:00,50,11084,110.84
2020-9-23 23:28:00,2020-9-24 07:47:00,2,16,69,15,8:32:00,25,6280,62.8
2020-9-24 00:30:00,2020-9-25 11:10:00,2,14,64,22,11:23:00,25,12018,120.18
2020-9-25 11:23:00,2020-9-26 01:53:00,3,27,43,30,10:12:00,38,4915,49.15
2020-9-26 00:13:00,2020-9-27 11:52:00,4,20,57,23,8:53:00,50,4048,40.48
2020-9-27 01:34:00,2020-9-28 11:07:00,2,16,58,26,9:07:00,25,13801,138.01
2020-9-28 01:05:00,2020-9-29 10:19:00,5,21,54,25,8:41:00,63,5384,53.84
2020-9-29 00:06:00,2020-9-30 08:34:00,3,23,64,13,8:15:00,38,11088,110.88
2020-9-30 00:39:00,2020-10-1 09:19:00,2,18,54,28,8:29:00,25,10991,109.91
2020-10-1 00:35:00,2020-10-2 08:15:00,3,24,60,16,7:25:00,38,7375,73.75
2020-10-2 00:16:00,2020-10-3 08:37:00,1,30,41,29,8:18:00,13,6775,67.75
2020-10-3 00:50:00,2020-10-4 09:54:00,3,33,40,27,8:31:00,38,8239,82.39
2020-10-4 00:27:00,2020-10-5 10:08:00,3,19,59,22,9:04:00,38,11218,112.18
2020-10-5 00:22:00,2020-10-6 08:35:00,4,20,69,11,7:59:00,50,7230,72.3
2020-10-6 00:19:00,2020-10-7 08:33:00,2,16,59,25,8:05:00,25,9363,93.63
2020-10-7 00:19:00,2020-10-8 09:11:00,2,18,56,26,8:22:00,25,6740,67.4
2020-10-8 23:38:00,2020-10-9 08:46:00,3,17,63,20,9:16:00,38,4936,49.36
2020-10-9 23:18:00,2020-10-10 08:46:00,3,27,44,29,8:42:00,38,2557,25.57
2020-10-10 01:03:00,2020-10-12 10:33:00,3,22,45,33,9:11:00,38,2391,23.91
2020-10-12 00:06:00,2020-10-13 08:24:00,4,17,44,39,7:57:00,50,7796,77.96
