date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2022-7-18,3,18,60,22,10:8,38
2022-7-19,7,17,52,31,8:29,88
2022-7-20,6,20,68,12,9:18,75
2022-7-21,4,35,41,24,10:6,50
2022-7-22,4,21,52,27,8:31,50
2022-7-22,3,27,46,27,8:0,38
2022-7-26,4,24,62,14,9:21,50
2022-7-28,2,20,61,19,8:56,25
2022-7-29,4,35,45,20,8:5,50
2022-7-30,3,22,56,22,9:52,38
2022-7-31,2,23,51,26,8:24,25
2022-8-1,7,18,65,17,9:37,88
2022-8-2,3,24,56,20,9:4,38
2022-8-3,4,25,52,23,8:7,50
2022-8-6,4,20,61,19,10:11,50
2022-8-7,2,22,53,25,7:58,25
2022-8-8,3,21,70,9,9:11,38
2022-8-9,0,1,96,3,9:19,0
2022-8-10,5,27,57,16,7:5,63
2022-8-11,0,4,84,12,14:25,0
2022-8-12,1,18,63,19,11:18,13
2022-8-13,5,24,58,18,9:37,63
2022-8-14,2,20,64,16,9:46,25
2022-8-16,4,16,73,11,9:30,50
2022-8-18,7,23,55,22,9:41,88
2022-8-19,6,25,52,23,11:4,75
2022-8-20,5,29,47,24,8:4,63
2022-8-21,6,19,54,27,9:15,75
2022-8-22,5,16,63,21,9:46,63
2022-8-23,5,16,62,22,4:46,63
2022-8-24,4,19,63,18,11:1,50
2022-8-25,1,27,54,19,5:17,13
2022-8-28,3,27,48,25,8:4,38
2022-8-29,6,17,56,27,9:15,75
2022-8-30,5,21,57,22,8:23,63
2022-8-31,2,19,59,22,8:23,25
2022-9-2,3,21,52,27,9:5,38
2022-9-3,6,15,66,19,9:56,75
2022-9-4,3,17,63,20,7:39,38
2022-9-5,4,27,47,26,8:51,50
2022-9-6,3,29,43,28,9:31,38
2022-9-8,4,36,45,19,8:26,50
2022-9-9,3,13,55,32,9:15,38
2022-9-10,3,28,51,21,9:17,38
2022-9-11,3,20,57,23,8:5,38
2022-9-12,3,26,51,23,9:1,38
2022-9-13,5,32,44,24,7:52,63
2022-9-15,3,15,68,17,8:22,38
2022-9-16,4,14,68,18,9:47,50
2022-9-17,3,16,75,9,7:29,38
2022-9-18,0,2,96,2,14:11,0
2022-9-25,1,28,51,21,8:18,13
2022-9-26,2,35,43,22,7:59,25
2022-9-27,2,27,45,28,8:19,25
2022-9-28,2,23,56,21,6:2,25
2022-9-29,7,11,73,16,8:47,88
2022-9-30,3,13,63,24,8:14,38
2022-10-1,2,18,63,19,8:52,25
2022-10-2,5,13,69,18,7:49,63
2022-10-4,1,21,56,23,7:25,13
2022-10-5,3,20,61,19,8:3,38
2022-10-6,4,14,55,31,8:58,50
2022-10-7,1,28,50,22,7:27,13
2022-10-8,2,17,61,22,8:31,25
2022-10-9,2,21,62,17,7:41,25
2022-10-10,2,23,60,17,8:52,25
2022-10-11,2,22,61,17,9:52,25
2022-10-12,5,13,75,12,7:50,63
2022-10-13,3,24,58,18,8:50,38
2022-10-14,3,17,60,23,7:38,38
2022-10-15,5,29,48,23,9:31,63
2022-10-16,3,16,67,17,10:27,38
2022-10-17,5,23,57,20,8:36,63
2022-10-18,0,0,97,3,10:18,0
2022-10-19,6,16,55,29,9:34,75
2022-10-20,1,17,66,17,7:44,13
