date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2020-12-23,4,14,66,20,9:30,50
2020-12-24,2,13,62,25,7:49,25
2020-12-25,3,21,46,33,8:42,38
2020-12-27,3,5,60,23,9:5,38
2020-12-28,3,17,50,33,9:17,38
2020-12-29,2,19,55,26,8:21,25
2020-12-30,3,14,69,17,6:15,38
2020-12-31,4,11,70,19,8:35,50
2021-1-3,1,10,64,26,7:27,13
2021-1-4,1,14,66,20,7:4,13
2021-1-5,2,12,73,15,6:40,25
2021-1-6,3,24,57,19,7:47,38
2021-1-7,3,29,45,26,7:22,38
2021-1-8,2,22,63,15,6:48,25
2021-1-9,2,13,67,20,9:10,25
2021-1-10,2,18,60,22,9:16,25
2021-1-11,0,13,65,22,3:29,0
2021-1-12,2,15,60,25,7:50,25
2021-1-14,1,11,69,20,7:42,13
2021-1-15,3,20,54,26,8:18,38
2021-1-16,3,14,59,27,10:19,38
2021-1-17,3,15,65,20,9:24,38
2021-1-18,4,15,69,16,7:19,50
2021-1-20,2,18,59,23,7:44,25
2021-1-21,1,15,55,30,7:11,13
2021-1-22,2,8,71,21,7:29,25
2021-1-23,2,22,52,26,10:7,25
2021-1-24,1,13,57,30,7:49,13
2021-1-25,2,24,46,30,7:32,25
2021-1-26,2,15,61,24,8:19,25
2021-1-27,2,20,58,22,8:19,25
2021-1-28,1,13,58,29,8:19,13
2021-1-29,1,17,55,28,7:54,13
2021-1-30,1,17,55,28,8:6,13
2021-1-31,3,10,69,21,7:51,38
2021-2-1,2,16,60,24,8:8,25
2021-2-2,3,22,55,23,8:32,38
2021-2-3,1,14,61,25,8:2,13
2021-2-4,4,17,64,19,8:48,50
2021-2-5,1,11,73,16,7:48,13
2021-2-6,4,14,52,34,9:59,50
2021-2-8,1,17,63,20,8:15,13
2021-2-9,4,11,70,19,8:3,50
2021-2-10,3,16,58,26,8:22,38
2021-2-11,3,13,63,24,7:58,38
2021-2-12,3,9,61,30,8:42,38
2021-2-13,2,15,55,30,8:9,25
2021-2-14,2,25,49,26,7:53,25
2021-2-15,2,20,49,31,5:11,25
2021-2-16,2,11,61,28,8:25,25
2021-2-17,2,17,58,25,8:30,25
2021-2-18,4,9,74,17,8:14,50
2021-2-19,2,27,46,27,9:28,25
2021-2-19,2,24,60,16,8:21,25
2021-2-21,4,11,64,25,9:7,50
2021-2-22,3,24,53,23,7:24,38
2021-2-23,3,15,63,22,8:35,38
2021-2-24,0,1,75,24,22:21,0
2021-2-25,2,19,61,20,8:26,25
2021-2-26,2,19,47,34,6:57,25
2021-2-28,2,13,65,22,8:52,25
2021-3-2,1,21,47,32,6:43,13
2021-3-3,3,15,61,24,8:24,38
2021-3-4,1,21,51,28,7:6,13
2021-3-5,2,14,58,28,7:44,25
2021-3-6,3,16,68,16,9:15,38
2021-3-7,4,28,40,32,10:14,50
2021-3-8,6,19,58,23,7:47,75
2021-3-9,4,16,60,24,8:2,50
2021-3-10,3,16,62,22,7:55,38
2021-3-11,4,14,60,26,8:46,50
2021-3-12,2,25,50,25,6:41,25
2021-3-15,1,15,47,38,6:52,13
2021-3-16,2,23,50,27,8:14,25
2021-3-17,3,14,65,21,7:12,38
